SubjectID,PSE_u,Curve_SD_v,GuessRate_g,LapseRate_l
2,0.375962755653945,0.100000000000022,2.27813297040202e-14,0.0499999999999778
3,0.615101377293199,0.100000000000978,3.70918693896892e-14,3.47718842640817e-14
4,0.493686815255129,0.100000000000159,3.07352414128329e-14,2.33707089463987e-14
5,0.578384396395007,0.116378603205472,0.000340170954855615,0.0499999999999777
6,0.412330074795695,0.100000000001172,0.00135134009186117,2.33690503312551e-14
7,0.572109211529632,0.100000000018184,4.79316006922417e-13,9.5609315929922e-14
9,0.526685452511431,0.100000000657105,2.576346359447e-13,9.07327787983896e-11
10,0.462845871948965,0.145935057184765,0.00779787292289154,0.0499999999999778
11,0.510913330109178,0.100000000003103,0.0109146284533311,2.25804450528512e-14
12,0.462464273753746,0.120249373310421,0.0499999999999778,0.0429109663247667
14,0.578449570831415,0.100000000010418,2.77119162394213e-13,9.0762125389579e-14
15,0.746611361680585,0.100052610493282,0.0257678054747504,2.22201184297996e-14
16,0.391932080668661,0.111389952834386,2.32820374484412e-14,0.0173310450566065
17,0.449440576409812,0.100000000003308,1.89369843663549e-13,0.03470519742141
18,0.478348434387814,0.100000000024284,1.77473536460652e-12,3.86705984147998e-13
19,0.52359284288079,0.109092950932758,0.0499999999999778,7.36608350078649e-08
20,0.512675520933075,0.100000000004101,0.00633423939414525,0.00165375248476228
21,0.578880893619315,0.117039248558288,0.0022662150704314,0.00540132382325119
22,0.507875844451561,0.100000000015715,4.42005920544153e-14,4.08691868809203e-14
23,0.701734658617331,0.261384526462024,4.04603102926712e-08,2.51064530412495e-10
24,0.55569060137152,0.100000000018521,2.20939546904659e-13,0.0148172957754878
25,0.540886732697079,0.131232527926444,3.69550930626634e-10,0.0184555433800176
26,0.669143415802145,0.10000000074345,3.96707824759694e-12,2.96815561275963e-11
27,0.398902577389954,0.100000000016718,2.82558348764858e-14,2.6132418788844e-11
28,0.430165467432266,0.100000000000652,2.22044604925031e-14,0.0499999999999778
29,0.732916470367142,0.150221779523251,3.8407104693918e-08,1.4982469285003e-09
30,0.49160479945855,0.100000000007077,2.22162423197438e-14,0.00878044224023815
31,0.472874451149967,0.122480579964745,1.40912052742224e-07,0.00123311060720314
32,0.440186414721103,0.230158885050899,2.23482610925295e-14,0.0499999999999778
33,0.516557274859445,0.100000000018541,2.22125503322589e-14,3.79524350795282e-05
34,0.518467025524793,0.100000000000135,2.70753199083249e-14,0.0157798807536973
35,0.523958977387861,0.175065072400987,1.19411343263229e-09,0.014233089063487
36,0.475607649462557,0.100000000189694,3.11171823026393e-11,3.69081022222549e-12
37,0.310834183025899,0.100000000037722,3.84299271225523e-11,4.28618788097707e-13
38,0.523045908351971,0.176997276710644,2.56946866394158e-06,0.022257562655888
39,0.495419297888711,0.100000000586076,4.14100594625532e-10,0.00489093646399545
41,0.447144908864405,0.132757819353247,1.02958345349653e-08,5.04522553695177e-07
42,0.597605338319449,0.10000000000101,3.16192941188279e-12,4.26168131184309e-14
43,0.504454529666344,0.136155358282727,2.36016069483415e-14,2.48695368469509e-07
44,0.445276283454805,0.100000000024863,1.61387890655075e-13,3.87406332647013e-13
