Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper
R16,R2,-0.057192379561414,0.0066829658644128,1.73325561329827e-09,-0.0770782713155923,-0.0373064878072357
R16,R32,-0.0252128194294636,0.00325155561940144,2.0215312565492e-08,-0.0348881768070055,-0.0155374620519217
R16,R4,-0.0321864302287284,0.0053919445638246,5.71228721716695e-06,-0.0482307476943791,-0.0161421127630777
R16,R8,-0.0312635589567872,0.006374421342375,0.000169195452201402,-0.0502313429290208,-0.0122957749845537
R2,R16,0.057192379561414,0.0066829658644128,1.73325561329827e-09,0.0373064878072357,0.0770782713155923
R2,R32,0.0319795601319504,0.00348926198250636,2.84625827150545e-10,0.0215968816185703,0.0423622386453304
R2,R4,0.0250059493326856,0.00175875021784312,5.14033970926152e-16,0.0197725967817013,0.0302393018836699
R2,R8,0.0259288206046268,0.00251458738228098,1.06620690409922e-11,0.0184463923676758,0.0334112488415778
R32,R16,0.0252128194294636,0.00325155561940144,2.0215312565492e-08,0.0155374620519217,0.0348881768070055
R32,R2,-0.0319795601319504,0.00348926198250636,2.84625827150545e-10,-0.0423622386453304,-0.0215968816185703
R32,R4,-0.00697361079926476,0.0023558615501124,0.0520926966550606,-0.013983733059927,3.65114613974466e-05
R32,R8,-0.00605073952732359,0.00359772735248559,1,-0.0167561685455311,0.00465468949088388
R4,R16,0.0321864302287284,0.0053919445638246,5.71228721716695e-06,0.0161421127630777,0.0482307476943791
R4,R2,-0.0250059493326856,0.00175875021784312,5.14033970926152e-16,-0.0302393018836699,-0.0197725967817013
R4,R32,0.00697361079926476,0.0023558615501124,0.0520926966550606,-3.65114613974466e-05,0.013983733059927
R4,R8,0.000922871271941163,0.00209328096567243,1,-0.00530591390203508,0.00715165644591741
R8,R16,0.0312635589567872,0.006374421342375,0.000169195452201402,0.0122957749845537,0.0502313429290208
R8,R2,-0.0259288206046268,0.00251458738228098,1.06620690409922e-11,-0.0334112488415778,-0.0184463923676758
R8,R32,0.00605073952732359,0.00359772735248559,1,-0.00465468949088388,0.0167561685455311
R8,R4,-0.000922871271941163,0.00209328096567243,1,-0.00715165644591741,0.00530591390203508
