Location,Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper
L1,R16,R2,-0.0782937929319949,0.012799971350922,3.5654342021309e-06,-0.116381499783298,-0.0402060860806922
L1,R16,R32,-0.0324725492352885,0.00825758977874158,0.00334964503013886,-0.0570439056991738,-0.00790119277140322
L1,R16,R4,-0.100297462584928,0.00713185129120871,7.35846358313013e-16,-0.121519061746326,-0.07907586342353
L1,R16,R8,-0.0695045270737427,0.0104141324734578,6.02353071691791e-07,-0.10049291086658,-0.0385161432809052
L1,R2,R16,0.0782937929319949,0.012799971350922,3.5654342021309e-06,0.0402060860806922,0.116381499783298
L1,R2,R32,0.0458212436967064,0.00477141526436755,7.95058328851026e-11,0.0316233786489872,0.0600191087444256
L1,R2,R4,-0.0220036696529329,0.00954534604546486,0.265645819179297,-0.0504068849419828,0.00639954563611695
L1,R2,R8,0.00878926585825219,0.00261586762361941,0.01753176307537,0.00100546724818317,0.0165730644683212
L1,R32,R16,0.0324725492352885,0.00825758977874158,0.00334964503013886,0.00790119277140322,0.0570439056991738
L1,R32,R2,-0.0458212436967064,0.00477141526436755,7.95058328851026e-11,-0.0600191087444256,-0.0316233786489872
L1,R32,R4,-0.0678249133496393,0.00681241819877457,2.89831156660135e-11,-0.0880960046036612,-0.0475538220956174
L1,R32,R8,-0.0370319778384542,0.00260624415621502,5.24929903849654e-16,-0.0447871407746344,-0.029276814902274
L1,R4,R16,0.100297462584928,0.00713185129120871,7.35846358313013e-16,0.07907586342353,0.121519061746326
L1,R4,R2,0.0220036696529329,0.00954534604546486,0.265645819179297,-0.00639954563611695,0.0504068849419828
L1,R4,R32,0.0678249133496393,0.00681241819877457,2.89831156660135e-11,0.0475538220956174,0.0880960046036612
L1,R4,R8,0.0307929355111851,0.00780328441959422,0.00321584958879729,0.00757341405269101,0.0540124569696792
L1,R8,R16,0.0695045270737427,0.0104141324734578,6.02353071691791e-07,0.0385161432809052,0.10049291086658
L1,R8,R2,-0.00878926585825219,0.00261586762361941,0.01753176307537,-0.0165730644683212,-0.00100546724818317
L1,R8,R32,0.0370319778384542,0.00260624415621502,5.24929903849654e-16,0.029276814902274,0.0447871407746344
L1,R8,R4,-0.0307929355111851,0.00780328441959422,0.00321584958879729,-0.0540124569696792,-0.00757341405269101
L2,R16,R2,-0.0624974750141102,0.0034012621820717,8.34641315728528e-20,-0.0726183005506328,-0.0523766494775876
L2,R16,R32,-0.0395276027815524,0.00249578346747044,1.40348720993032e-17,-0.0469540779249124,-0.0321011276381924
L2,R16,R4,-0.00895847619248372,0.00963261546366201,1,-0.0376213711266085,0.0197044187416411
L2,R16,R8,0.0107055013615432,0.00615238582808487,0.897358583503603,-0.00760159178982757,0.029012594512914
L2,R2,R16,0.0624974750141102,0.0034012621820717,8.34641315728528e-20,0.0523766494775876,0.0726183005506328
L2,R2,R32,0.0229698722325578,0.00108890459580538,6.20330145605757e-22,0.0197297181808783,0.0262100262842373
L2,R2,R4,0.0535389988216265,0.00997497002167687,3.90745709712276e-05,0.0238573906664024,0.0832206069768506
L2,R2,R8,0.0732029763756534,0.00742566562688447,3.82954955438036e-11,0.0511071007038537,0.0952988520474531
L2,R32,R16,0.0395276027815524,0.00249578346747044,1.40348720993032e-17,0.0321011276381924,0.0469540779249124
L2,R32,R2,-0.0229698722325578,0.00108890459580538,6.20330145605757e-22,-0.0262100262842373,-0.0197297181808783
L2,R32,R4,0.0305691265890687,0.00970061621204428,0.0311967034246899,0.00170388803252113,0.0594343651456162
L2,R32,R8,0.0502331041430956,0.00692953601239272,9.77351110627137e-08,0.029613516097178,0.0708526921890132
L2,R4,R16,0.00895847619248372,0.00963261546366201,1,-0.0197044187416411,0.0376213711266085
L2,R4,R2,-0.0535389988216265,0.00997497002167687,3.90745709712276e-05,-0.0832206069768506,-0.0238573906664024
L2,R4,R32,-0.0305691265890687,0.00970061621204428,0.0311967034246899,-0.0594343651456162,-0.00170388803252113
L2,R4,R8,0.0196639775540269,0.00446900608048341,0.000813490504066432,0.00636596392231041,0.0329619911857434
L2,R8,R16,-0.0107055013615432,0.00615238582808487,0.897358583503603,-0.029012594512914,0.00760159178982757
L2,R8,R2,-0.0732029763756534,0.00742566562688447,3.82954955438036e-11,-0.0952988520474531,-0.0511071007038537
L2,R8,R32,-0.0502331041430956,0.00692953601239272,9.77351110627137e-08,-0.0708526921890132,-0.029613516097178
L2,R8,R4,-0.0196639775540269,0.00446900608048341,0.000813490504066432,-0.0329619911857434,-0.00636596392231041
L3,R16,R2,-0.030785870738137,0.00574796409361232,4.05151213958307e-05,-0.0478895630345694,-0.0136821784417045
L3,R16,R32,-0.00363830627155001,0.000413250299112356,8.28765622860001e-10,-0.0048679774807493,-0.00240863506235071
L3,R16,R4,0.0126966480912264,0.00350275892510911,0.00825554356140157,0.00227380795723416,0.0231194882252185
L3,R16,R8,-0.0349916511581622,0.00388157240658328,4.43306279057406e-10,-0.046541692005199,-0.0234416103111254
L3,R2,R16,0.030785870738137,0.00574796409361232,4.05151213958307e-05,0.0136821784417045,0.0478895630345694
L3,R2,R32,0.027147564466587,0.00541292278263123,0.000119327803112371,0.0110408240293323,0.0432543049038416
L3,R2,R4,0.0434825188293633,0.00398348535031007,2.02062876728249e-12,0.0316292249344406,0.055335812724286
L3,R2,R8,-0.00420578042002522,0.00254917206695412,1,-0.0117911191475751,0.0033795583075247
L3,R32,R16,0.00363830627155001,0.000413250299112356,8.28765622860001e-10,0.00240863506235071,0.0048679774807493
L3,R32,R2,-0.027147564466587,0.00541292278263123,0.000119327803112371,-0.0432543049038416,-0.0110408240293323
L3,R32,R4,0.0163349543627764,0.00325427649982046,0.000117751992229684,0.00665150070963071,0.026018408015922
L3,R32,R8,-0.0313533448866122,0.00350036610272052,5.25804994724828e-10,-0.041769064917349,-0.0209376248558753
L3,R4,R16,-0.0126966480912264,0.00350275892510911,0.00825554356140157,-0.0231194882252185,-0.00227380795723416
L3,R4,R2,-0.0434825188293633,0.00398348535031007,2.02062876728249e-12,-0.055335812724286,-0.0316292249344406
L3,R4,R32,-0.0163349543627764,0.00325427649982046,0.000117751992229684,-0.026018408015922,-0.00665150070963071
L3,R4,R8,-0.0476882992493885,0.00271135997426937,3.84190567894634e-19,-0.0557562457343538,-0.0396203527644232
L3,R8,R16,0.0349916511581622,0.00388157240658328,4.43306279057406e-10,0.0234416103111254,0.046541692005199
L3,R8,R2,0.00420578042002522,0.00254917206695412,1,-0.0033795583075247,0.0117911191475751
L3,R8,R32,0.0313533448866122,0.00350036610272052,5.25804994724828e-10,0.0209376248558753,0.041769064917349
L3,R8,R4,0.0476882992493885,0.00271135997426937,3.84190567894634e-19,0.0396203527644232,0.0557562457343538
