Ratio,Pretrain_1,Pretrain_2,Difference,StdErr,pValue,Lower,Upper,Location
R16,Face,Object,-0.00107818776385515,0.00124891199214623,0.393249895059861,-0.00360435071029435,0.00144797518258404,L1
R16,Object,Face,0.00107818776385515,0.00124891199214623,0.393249895059861,-0.00144797518258404,0.00360435071029435,L1
R2,Face,Object,-0.0974070662161922,0.00645054961197308,6.98277475361272e-18,-0.110454534345577,-0.0843595980868076,L1
R2,Object,Face,0.0974070662161922,0.00645054961197308,6.98277475361272e-18,0.0843595980868076,0.110454534345577,L1
R32,Face,Object,-0.0632550078142035,0.0108176506916293,8.43811903722715e-07,-0.0851357716442915,-0.0413742439841155,L1
R32,Object,Face,0.0632550078142035,0.0108176506916293,8.43811903722715e-07,0.0413742439841155,0.0851357716442915,L1
R4,Face,Object,0.102341876066531,0.0228556586709779,6.40379237985578e-05,0.0561119428012849,0.148571809331778,L1
R4,Object,Face,-0.102341876066531,0.0228556586709779,6.40379237985578e-05,-0.148571809331778,-0.0561119428012849,L1
R8,Face,Object,0.127375466641745,0.0108798312810318,2.45559401738908e-14,0.10536893069807,0.14938200258542,L1
R8,Object,Face,-0.127375466641745,0.0108798312810318,2.45559401738908e-14,-0.14938200258542,-0.10536893069807,L1
R16,Face,Object,0.00272867274534386,0.0181912981548982,0.881538641853154,-0.0340667008562502,0.039524046346938,L2
R16,Object,Face,-0.00272867274534386,0.0181912981548982,0.881538641853154,-0.039524046346938,0.0340667008562502,L2
R2,Face,Object,0.062079871445055,0.0238294720584561,0.0129318406270689,0.0138802146831461,0.110279528206964,L2
R2,Object,Face,-0.062079871445055,0.0238294720584561,0.0129318406270689,-0.110279528206964,-0.0138802146831461,L2
R32,Face,Object,0.035007134436893,0.0224913483171035,0.127674810801685,-0.0104859115834963,0.0805001804572823,L2
R32,Object,Face,-0.035007134436893,0.0224913483171035,0.127674810801685,-0.0805001804572823,0.0104859115834963,L2
R4,Face,Object,-0.0190409770775147,0.00240337266533571,1.20106312248913e-09,-0.0239022571451537,-0.0141796970098756,L2
R4,Object,Face,0.0190409770775147,0.00240337266533571,1.20106312248913e-09,0.0141796970098756,0.0239022571451537,L2
R8,Face,Object,0.0464234061718399,0.00978342897092833,2.78976305592731e-05,0.0266345532255186,0.0662122591181613,L2
R8,Object,Face,-0.0464234061718399,0.00978342897092833,2.78976305592731e-05,-0.0662122591181613,-0.0266345532255186,L2
R16,Face,Object,-0.0801233238661247,0.0131459774797576,3.82315504011807e-07,-0.106713573149438,-0.0535330745828112,L3
R16,Object,Face,0.0801233238661247,0.0131459774797576,3.82315504011807e-07,0.0535330745828112,0.106713573149438,L3
R2,Face,Object,-0.053770911798331,0.00360566905683937,1.06014784541988e-17,-0.0610640658602575,-0.0464777577364045,L3
R2,Object,Face,0.053770911798331,0.00360566905683937,1.06014784541988e-17,0.0464777577364045,0.0610640658602575,L3
R32,Face,Object,-0.0869213599458993,0.0128104836641025,4.23201489616997e-08,-0.112833008934559,-0.0610097109572399,L3
R32,Object,Face,0.0869213599458993,0.0128104836641025,4.23201489616997e-08,0.0610097109572399,0.112833008934559,L3
R4,Face,Object,-0.0192146790401825,0.00303170276017155,1.75835930773928e-07,-0.0253468766854319,-0.0130824813949331,L3
R4,Object,Face,0.0192146790401825,0.00303170276017155,1.75835930773928e-07,0.0130824813949331,0.0253468766854319,L3
R8,Face,Object,0.128151101968866,0.00980585575935427,7.88269105704552e-16,0.10831688656123,0.147985317376502,L3
R8,Object,Face,-0.128151101968866,0.00980585575935427,7.88269105704552e-16,-0.147985317376502,-0.10831688656123,L3
