SubjectID,Face_L1_R2,Face_L1_R4,Face_L1_R8,Face_L1_R16,Face_L1_R32,Face_L2_R2,Face_L2_R4,Face_L2_R8,Face_L2_R16,Face_L2_R32,Face_L3_R2,Face_L3_R4,Face_L3_R8,Face_L3_R16,Face_L3_R32,Object_L1_R2,Object_L1_R4,Object_L1_R8,Object_L1_R16,Object_L1_R32,Object_L2_R2,Object_L2_R4,Object_L2_R8,Object_L2_R16,Object_L2_R32,Object_L3_R2,Object_L3_R4,Object_L3_R8,Object_L3_R16,Object_L3_R32
2,0.0542675129837805,0.080673351453511,0.0622534553668735,0.136369890284019,0.117120841153723,0.0568706116966595,0.048411358235281,0.0313233382036225,0.045842893276687,0.0184429898686186,0.0359425041998522,0.0730798859277152,0.0677237552376079,0.132089521535666,0.127809549088381,0.0557324718357961,0.234212895134224,0.0981030017811865,0.14443629997915,0.0110571385041052,0.255610956679782,0.0238573844450422,0.118393779033742,0.212325470663333,0.243819077019186,0.0242857380009613,0.0452338144172011,0.0866108500720292,0.00574924883860339,0.0131569586401161
3,0.184871108655474,0.319811973092765,0.301392077006128,0.102768731355235,0.122017780485531,0.296009233335914,0.190727263403973,0.207815283435632,0.193295728362567,0.257581611507873,0.203196117439402,0.166058735711539,0.306862376876862,0.107049100103588,0.111329072550873,0.29487109347505,0.00492572650502954,0.141035619858068,0.0947023216601036,0.228081483135149,0.0164723350405277,0.215281237194212,0.120744842605512,0.0268131509759213,0.00468045537993156,0.263424359640215,0.193904807222053,0.152527771567225,0.244887870477857,0.25229558027937
4,0.0634565466174035,0.198397411054695,0.179977514968058,0.0186458306828354,0.000603218447460918,0.174594671297844,0.069312701365903,0.0864007213975615,0.071881166324497,0.136167049469803,0.0817815554013318,0.0446441736734688,0.185447814838792,0.0143654619344822,0.0100854894871966,0.17345653143698,0.116488835533041,0.0196210578199975,0.0267122403779664,0.106666921097079,0.137886897078598,0.0938666751561418,0.000669719432558502,0.0946014110621488,0.126095017418002,0.142009797602145,0.0724902451839828,0.0311132095291548,0.123473308439787,0.1308810182413
5,0.148154127757282,0.283094992194573,0.264675096107936,0.0660517504570427,0.085300799587339,0.259292252437722,0.154010282505781,0.17109830253744,0.156578747464375,0.220864630609681,0.16647913654121,0.129341754813347,0.27014539597867,0.0703321192053958,0.0746120916526815,0.258154112576858,0.0317912543931624,0.104318638959876,0.0579853407619116,0.191364502236957,0.0531893159387197,0.17856425629602,0.0840278617073196,0.00990382992227068,0.0413974362781235,0.226707378742023,0.157187826323861,0.115810790669033,0.208170889579665,0.215578599381178
6,0.0179001938420305,0.117040670595261,0.0986207745086236,0.100002571142269,0.0807535220119731,0.0932379308384095,0.012044039093531,0.00504398093812752,0.00947557413493699,0.0548103090103686,0.000424814941897778,0.0367125667859652,0.104091074379358,0.0957222023939162,0.0914422299466306,0.0920997909775461,0.197845575992474,0.0617356826394365,0.1080689808374,0.0253101806376448,0.219243637538032,0.0125099346967079,0.0820264598919925,0.175958151521583,0.207451757877436,0.0606530571427114,0.00886649527545114,0.0502435309302792,0.0421165679803534,0.0495242777818661
7,0.141878942891907,0.276819807329198,0.258399911242561,0.0597765655916677,0.079025614721964,0.253017067572347,0.147735097640406,0.164823117672065,0.150303562599,0.214589445744306,0.160203951675835,0.123066569947972,0.263870211113295,0.0640569343400208,0.0683369067873064,0.251878927711483,0.0380664392585375,0.0980434540945005,0.0517101558965366,0.185089317371582,0.0594645008040947,0.172289071430645,0.0777526768419445,0.0161790147876457,0.0476726211434986,0.220432193876648,0.150912641458486,0.109535605803658,0.20189570471429,0.209303414515803
9,0.0964551838737055,0.231396048310997,0.21297615222436,0.0143528065734666,0.0336018557037629,0.207593308554145,0.102311338622205,0.119399358653863,0.104879803580799,0.169165686726105,0.114780192657634,0.0776428109297708,0.218446452095094,0.0186331753218197,0.0229131477691054,0.206455168693282,0.0834901982767385,0.0526196950762994,0.00628639687833554,0.139665558353381,0.104888259822296,0.126865312412444,0.0323289178237435,0.0616027738058468,0.0930963801616996,0.175008434858447,0.105488882440285,0.0641118467854567,0.156471945696089,0.163879655497602
10,0.0326156033112395,0.167556467748531,0.149136571661894,0.0494867739889994,0.0302377248587031,0.14375372799168,0.038471758059739,0.0555597780913975,0.041040223018333,0.105326106163639,0.0509406120951678,0.0138032303673048,0.154606871532628,0.0452064052406462,0.0409264327933606,0.142615588130816,0.147329778839205,0.0112198854861665,0.0575531836841304,0.0758259777909148,0.168727840384762,0.0630257318499778,0.0315106627387225,0.125442354368313,0.156935960724166,0.111168854295981,0.0416493018778188,0.000272266222990758,0.0926323651336234,0.100040074935136
11,0.0806830614714526,0.215623925908744,0.197204029822107,0.00141931582878629,0.01782973330151,0.191821186151893,0.086539216219952,0.103627236251611,0.0891076811785461,0.153393564323852,0.0990080702553808,0.0618706885275179,0.202674329692841,0.00286105291956684,0.00714102536685246,0.190683046291029,0.0992623206789914,0.0368475726740465,0.00948572552391735,0.123893435951128,0.120660382224549,0.111093190010191,0.0165567954214906,0.0773748962080997,0.108868502563953,0.159236312456194,0.0897167600380319,0.0483397243832038,0.140699823293836,0.148107533095349
12,0.0322340051160205,0.167174869553312,0.148754973466675,0.0498683721842184,0.0306193230539221,0.143372129796461,0.03809015986452,0.0551781798961785,0.040658624823114,0.10494450796842,0.0505590138999488,0.0134216321720858,0.154225273337409,0.0455880034358652,0.0413080309885796,0.142233989935597,0.147711377034423,0.0116014836813855,0.0579347818793494,0.0754443795956958,0.169109438579981,0.0626441336547588,0.0318922609339415,0.125823952563532,0.157317558919385,0.110787256100762,0.0412677036825999,0.000109331972228233,0.0922507669384044,0.0996584767399171
