Location,Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper,Pretrain
L1,R16,R2,-0.0301293537058264,0.0103134277590148,0.0576885161410804,-0.0608180796684159,0.000559372256763193,Face
L1,R16,R32,-0.00138413921011431,0.00297620254133761,1,-0.0102401535570842,0.00747187513685562,Face
L1,R16,R4,-0.152007494500121,0.0151121218089266,2.16783770193173e-11,-0.196975256503597,-0.107039732496645,Face
L1,R16,R8,-0.133731354276543,0.0150301500065086,6.27572014621771e-10,-0.178455200266852,-0.0890075082862333,Face
L1,R2,R16,0.0301293537058264,0.0103134277590148,0.0576885161410804,-0.000559372256763193,0.0608180796684159,Face
L1,R2,R32,0.028745214495712,0.00783701464878843,0.00728707637418691,0.00542532507182532,0.0520651039195988,Face
L1,R2,R4,-0.121878140794295,0.00684304575211237,2.48255444672235e-19,-0.142240367664258,-0.101515913924331,Face
L1,R2,R8,-0.103602000570716,0.00672189272895513,3.51654367873988e-17,-0.12360372344394,-0.0836002776974924,Face
L1,R32,R16,0.00138413921011431,0.00297620254133761,1,-0.00747187513685562,0.0102401535570842,Face
L1,R32,R2,-0.028745214495712,0.00783701464878843,0.00728707637418691,-0.0520651039195988,-0.00542532507182532,Face
L1,R32,R4,-0.150623355290007,0.0130233023648319,3.56054718478777e-13,-0.189375607862187,-0.111871102717827,Face
L1,R32,R8,-0.132347215066428,0.0129339745620565,1.3292186633339e-11,-0.170833663046355,-0.0938607670865015,Face
L1,R4,R16,0.152007494500121,0.0151121218089266,2.16783770193173e-11,0.107039732496645,0.196975256503597,Face
L1,R4,R2,0.121878140794295,0.00684304575211237,2.48255444672235e-19,0.101515913924331,0.142240367664258,Face
L1,R4,R32,0.150623355290007,0.0130233023648319,3.56054718478777e-13,0.111871102717827,0.189375607862187,Face
L1,R4,R8,0.0182761402235785,0.000143755863058462,1.10503003124029e-51,0.0178483790184776,0.0187039014286793,Face
L1,R8,R16,0.133731354276543,0.0150301500065086,6.27572014621771e-10,0.0890075082862333,0.178455200266852,Face
L1,R8,R2,0.103602000570716,0.00672189272895513,3.51654367873988e-17,0.0836002776974924,0.12360372344394,Face
L1,R8,R32,0.132347215066428,0.0129339745620565,1.3292186633339e-11,0.0938607670865015,0.170833663046355,Face
L1,R8,R4,-0.0182761402235785,0.000143755863058462,1.10503003124029e-51,-0.0187039014286793,-0.0178483790184776,Face
L2,R16,R2,-0.0921730743639658,0.00578401764933791,1.13843612167206e-17,-0.109384047936565,-0.0749621007913667,Face
