Location,Ratio,M_diff,SD_diff,Cohens_dz
L1,2,-0.0974070662161922,0.0407968578675006,2.38761197081769
L1,4,0.102341876066531,0.144551877647334,0.707994096875148
L1,8,0.127375466641745,0.0688100948128157,1.85111598797015
L1,16,-0.00107818776385519,0.00789881298456086,0.136499973598898
L1,32,-0.0632550078142036,0.0684168302352889,0.924553324038346
L2,2,0.062079871445055,0.150710814288125,0.411913847976248
L2,4,-0.0190409770775146,0.015200263377301,1.25267415470899
L2,8,0.0464234061718399,0.0618758377492216,0.750267113311511
L2,16,0.00272867274534385,0.115051871529394,0.0237168914253318
L2,32,0.035007134436893,0.142247776660484,0.246099694903828
L3,2,-0.0537709117983309,0.0228042534168071,2.35793344406097
L3,4,-0.0192146790401825,0.0191741718215227,1.00211259286903
L3,8,0.128151101968866,0.0620176772132789,2.06636410338546
L3,16,-0.0801233238661247,0.0831424618106284,0.96368717164786
L3,32,-0.0869213599458993,0.0810206126138866,1.07283019890424
